sgrna	X1	X2
RUVBL2_CCDS42588.1_ex4_19:49510385-49510408:-_5-2	9.827679e-01	9.726636e-01
NIP7_CCDS10877.1_ex2_16:69374223-69374246:-_5-5	9.634731e-01	9.336528e-01
CCNK_CCDS45160.1_ex1_14:99959851-99959874:+_5-1	1.197165e+00	1.439727e+00
IARS_CCDS6694.1_ex28_9:95048040-95048063:+_5-4	9.053216e-01	8.274949e-01
IARS_CCDS6694.1_ex29_9:95048873-95048896:-_5-5	9.917675e-01	9.891247e-01
MAT2A_CCDS1977.1_ex5_2:85769363-85769386:+_5-5	9.126487e-01	8.400953e-01
INTS9_CCDS34873.1_ex7_8:28651437-28651460:+_5-2	9.859703e-01	9.787069e-01
BUB3_CCDS31306.1_ex0_10:124914533-124914556:-_5-1	1.125788e+00	1.272223e+00
EIF2B4_CCDS33164.1_ex6_2:27590961-27590984:+_5-3	1.199965e+00	1.444909e+00
CCT3_CCDS1140.2_ex6_1:156288720-156288743:+_5-2	1.121789e+00	1.265000e+00
CCT3_CCDS1140.2_ex8_1:156294799-156294822:-_5-4	1.551081e+00	2.414266e+00
HMGCS1_CCDS34154.1_ex7_5:43298204-43298227:+_5-3	1.501315e+00	2.261999e+00
EIF3F_CCDS7785.1_ex0_11:8009211-8009234:+_5-1	1.204132e+00	1.456970e+00
RPS21_CCDS13497.1_ex2_20:60962904-60962927:+_5-3	1.221934e+00	1.501252e+00
RPS21_CCDS13497.1_ex2_20:60962927-60962950:-_5-4	1.563353e-01	3.225713e-02
IGBP1_CCDS14396.1_ex0_X:69353894-69353917:-_5-1	1.119041e+00	1.259204e+00
DDX20_CCDS842.1_ex3_1:112303133-112303156:-_5-5	9.999846e-01	1.007441e+00
EIF3B_CCDS5332.1_ex1_7:2400421-2400444:-_5-2	1.097734e+00	1.210210e+00
IMP3_CCDS10282.1_ex0_15:75932326-75932349:+_5-5	1.425326e+00	2.038579e+00
PHB_CCDS11548.1_ex4_17:47489093-47489116:+_5-2	1.285540e+00	1.660996e+00
COPB1_CCDS7815.1_ex10_11:14498549-14498572:-_5-1	1.229798e+00	1.520499e+00
SRP54_CCDS53893.1_ex2_14:35476506-35476529:+_5-1	1.134677e+00	1.295797e+00
PSMA3_CCDS45113.1_ex5_14:58727720-58727743:-_5-5	9.610269e-01	9.333299e-01
ATP6V1A_CCDS2976.1_ex2_3:113503171-113503194:-_5-3	7.687909e-01	5.971301e-01
CDC5L_CCDS4912.1_ex3_6:44361225-44361248:+_5-2	4.023184e-01	1.702946e-01
ISCU_CCDS44966.1_ex2_12:108959112-108959135:+_5-4	1.525942e+00	2.336987e+00
ATP6V0D1_CCDS10838.1_ex7_16:67514859-67514882:-_5-5	1.189776e+00	1.423468e+00
PSMA2_CCDS5467.1_ex5_7:42966202-42966225:+_5-4	8.562786e-01	7.417134e-01
PSMA2_CCDS5467.1_ex6_7:42966979-42967002:+_5-5	9.422224e-01	8.976968e-01
RFC5_CCDS41843.2_ex2_12:118457472-118457495:+_5-1	1.266702e+00	1.611448e+00
RBMX_CCDS14661.1_ex5_X:135960086-135960109:-_6-4	1.335737e+00	1.792538e+00
ABCE1_CCDS34071.1_ex7_4:146033406-146033429:-_5-4	2.159461e-01	5.393940e-02
RPL13A_CCDS12768.1_ex3_19:49993824-49993847:-_5-3	6.007506e-01	3.657213e-01
MCM5_CCDS13915.1_ex0_22:35796542-35796565:+_5-1	1.175942e+00	1.389765e+00
SRSF7_CCDS33183.1_ex5_2:38976805-38976828:-_5-3	9.047409e-01	8.261131e-01
COPS5_CCDS6198.1_ex5_8:67970416-67970439:-_5-2	1.035926e+00	1.079996e+00
DYNLRB1_CCDS13235.1_ex2_20:33122449-33122472:-_5-2	1.037049e+00	1.087598e+00
DYNLRB1_CCDS13235.1_ex2_20:33122470-33122493:-_5-3	1.182039e+00	1.405606e+00
NUDT21_CCDS10760.1_ex5_16:56481810-56481833:+_5-4	1.127111e+00	1.276817e+00
NUDT21_CCDS10760.1_ex5_16:56481839-56481862:+_5-5	1.108099e+00	1.234748e+00
GINS2_CCDS10953.1_ex3_16:85721143-85721166:-_5-5	9.440717e-01	8.999794e-01
PWP2_CCDS33579.1_ex2_21:45533654-45533677:-_5-1	4.707750e-02	5.603760e-03
PFDN6_CCDS4773.1_ex1_6:33258005-33258028:+_5-2	8.362191e-01	7.094883e-01
PFDN6_CCDS4773.1_ex2_6:33258110-33258133:+_5-3	1.098328e+00	1.213114e+00
KPNB1_CCDS11513.1_ex9_17:45745679-45745702:+_5-3	1.498420e+00	2.253597e+00
DHX16_CCDS4685.1_ex13_6:30632675-30632698:-_5-2	1.331589e+00	1.781786e+00
GINS1_CCDS33451.1_ex3_20:25398746-25398769:-_5-3	1.264117e+00	1.606628e+00
TONSL_CCDS34968.2_ex20_8:145667763-145667786:+_5-3	1.126865e+00	1.278265e+00
ABT1_CCDS4616.1_ex0_6:26597412-26597435:-_5-2	1.274636e+00	1.633041e+00
ABT1_CCDS4616.1_ex1_6:26598205-26598228:+_5-4	1.084770e+00	1.184462e+00
NIFK_CCDS2135.1_ex3_2:122488580-122488603:+_5-1	5.795706e-01	3.461747e-01
HINFP_CCDS58188.1_ex1_11:119001438-119001461:+_5-1	7.586049e-01	5.797290e-01
HINFP_CCDS58188.1_ex1_11:119001504-119001527:-_5-2	1.118012e+00	1.260335e+00
PPWD1_CCDS3985.1_ex4_5:64867816-64867839:-_5-2	1.165017e+00	1.367358e+00
PPWD1_CCDS3985.1_ex4_5:64867994-64868017:-_5-5	1.123485e+00	1.271827e+00
LARS_CCDS34265.1_ex14_5:145523857-145523880:+_5-1	1.186108e+00	1.416809e+00
WDR77_CCDS835.1_ex8_1:111991348-111991371:+_5-3	6.235859e-01	3.952865e-01
WDR77_CCDS835.1_ex9_1:111991675-111991698:-_5-5	1.187333e+00	1.415451e+00
NUP85_CCDS32730.1_ex3_17:73208140-73208163:+_5-1	8.087492e-01	6.619329e-01
IK_CCDS47280.1_ex2_5:140031325-140031348:+_5-1	1.099436e+00	1.214201e+00
IK_CCDS47280.1_ex8_5:140035480-140035503:-_5-3	1.701982e+00	2.907140e+00
RBM14_CCDS55772.1_ex0_11:66384390-66384413:+_5-5	9.553447e-01	9.184430e-01
RPS24_CCDS44443.1_ex2_10:79795347-79795370:-_7-3	1.417741e+00	2.018613e+00
TANGO6_CCDS45516.1_ex3_16:68901019-68901042:-_5-5	1.112694e+00	1.246481e+00
GNB2L1_CCDS34324.1_ex7_5:180670677-180670700:+_5-5	1.133059e+00	1.292175e+00
NAT10_CCDS44568.1_ex1_11:34135336-34135359:-_5-2	1.141545e+00	1.310018e+00
EXOSC6_CCDS10887.1_ex0_16:70285587-70285610:+_5-2	1.115594e+00	1.251034e+00
EXOSC6_CCDS10887.1_ex0_16:70285602-70285625:+_5-3	1.475266e+00	2.184531e+00
EXOSC6_CCDS10887.1_ex0_16:70285669-70285692:+_5-4	1.278771e+00	1.641203e+00
MYC_CCDS6359.2_ex1_8:128750568-128750591:-_5-1	1.147871e+00	1.326791e+00
MYC_CCDS6359.2_ex1_8:128750721-128750744:-_5-2	9.622484e-01	9.337073e-01
GNL3_CCDS2861.1_ex4_3:52722155-52722178:-_5-2	3.830147e-01	1.500910e-01
NSF_CCDS42354.1_ex10_17:44771270-44771293:+_5-5	5.577447e-01	3.206719e-01
POP5_CCDS9202.1_ex3_12:121018945-121018968:+_5-3	1.508968e+00	2.287410e+00
XRCC6_CCDS14021.1_ex3_22:42032636-42032659:-_5-2	1.029359e+00	1.070407e+00
TTC27_CCDS33176.1_ex3_2:32865398-32865421:-_5-1	1.174247e+00	1.389168e+00
FARSA_CCDS12287.1_ex11_19:13041553-13041576:-_5-5	1.135389e+00	1.294612e+00
SUPT5H_CCDS12536.1_ex8_19:39950559-39950582:-_5-1	6.043614e-01	3.722497e-01
ACTR10_CCDS32090.1_ex7_14:58686404-58686427:+_5-5	7.458053e-01	5.664473e-01
LSM2_CCDS4722.1_ex0_6:31765622-31765645:-_5-1	1.308566e+00	1.721068e+00
PAM16_CCDS10512.1_ex2_16:4391442-4391465:+_5-4	6.355339e-01	4.093655e-01
EIF1AX_CCDS14196.1_ex3_X:20152073-20152096:-_5-1	1.001416e+00	1.010588e+00
POLR2D_CCDS2151.1_ex1_2:128608198-128608221:+_5-1	1.144415e+00	1.319014e+00
POLR2D_CCDS2151.1_ex2_2:128610628-128610651:-_5-5	1.914814e-01	4.409431e-02
EIF2S3_CCDS14210.1_ex6_X:24082309-24082332:+_5-5	1.045928e+00	1.103997e+00
WEE1_CCDS44536.1_ex2_11:9598167-9598190:+_5-3	9.729658e-01	9.570677e-01
WEE1_CCDS44536.1_ex3_11:9598744-9598767:+_5-4	1.432003e+00	2.059851e+00
DUT_CCDS32231.1_ex0_15:48623854-48623877:-_7-1	-1.462615e-01	2.356338e-02
DUT_CCDS32231.1_ex2_15:48626632-48626655:-_7-4	1.399756e+00	1.969322e+00
DUT_CCDS32231.1_ex2_15:48626682-48626705:+_7-5	1.031553e+00	1.074294e+00
EIF2B3_CCDS517.1_ex8_1:45407252-45407275:+_5-3	1.052323e+00	1.118173e+00
EIF2B3_CCDS517.1_ex8_1:45407282-45407305:-_5-4	8.679482e-01	7.641773e-01
TRAPPC3_CCDS404.1_ex1_1:36603434-36603457:+_6-2	3.974116e-01	1.690828e-01
TWISTNB_CCDS34606.1_ex3_7:19748380-19748403:+_5-4	1.156819e+00	1.348979e+00
TWISTNB_CCDS34606.1_ex3_7:19748436-19748459:+_5-5	1.339083e+00	1.802489e+00
KAT8_CCDS10706.1_ex2_16:31131651-31131674:+_5-3	4.402339e-01	1.976255e-01
CCDC94_CCDS12124.1_ex2_19:4251056-4251079:+_5-3	2.787732e-01	8.915250e-02
CCDC94_CCDS12124.1_ex3_19:4254391-4254414:-_5-5	8.885170e-01	7.960815e-01
DHX37_CCDS9261.1_ex18_12:125453407-125453430:+_5-2	4.386723e-01	1.967603e-01
DYNC1H1_CCDS9966.1_ex29_14:102476332-102476355:-_5-5	1.777728e+00	3.172041e+00
ATP2A2_CCDS9143.1_ex9_12:110771015-110771038:-_5-5	9.418122e-01	8.975084e-01
SBDS_CCDS5537.1_ex3_7:66459296-66459319:+_5-3	8.660256e-01	7.571781e-01
NPLOC4_CCDS45812.1_ex10_17:79573757-79573780:+_5-3	1.038311e+00	1.083754e+00
NPLOC4_CCDS45812.1_ex9_17:79571572-79571595:-_5-1	1.386007e+00	1.931729e+00
GINS4_CCDS6116.1_ex0_8:41387795-41387818:+_5-1	8.941219e-01	8.080391e-01
UBTF_CCDS11480.1_ex18_17:42293977-42294000:+_5-5	8.167463e-01	6.772755e-01
PMF1-BGLAP_CCDS55650.1_ex1_1:156202146-156202169:-_3-2	3.046448e-01	9.723722e-02
NUTF2_CCDS10848.1_ex0_16:67899099-67899122:+_5-1	6.190153e-01	3.930192e-01
RPL6_CCDS9162.1_ex3_12:112844677-112844700:+_5-2	9.464390e-01	9.075790e-01
UPF1_CCDS12386.1_ex2_19:18958604-18958627:+_5-1	7.406148e-01	5.552832e-01
UXT_CCDS14284.1_ex3_X:47517004-47517027:-_5-1	6.184007e-01	3.921993e-01
TBL3_CCDS10453.1_ex4_16:2024615-2024638:+_5-2	9.097647e-01	8.318961e-01
TBL3_CCDS10453.1_ex6_16:2024991-2025014:+_5-4	4.695093e-01	2.260720e-01
KRTAP4-11_CCDS45675.1_ex0_17:39274286-39274309:+_4-2	6.689211e-01	4.551877e-01
KRTAP4-11_CCDS45675.1_ex0_17:39274450-39274473:+_4-4	1.308645e+00	1.723916e+00
MDN1_CCDS5024.1_ex99_6:90504424-90504447:+_5-5	9.836373e-01	9.767146e-01
NCBP2_CCDS3323.1_ex1_3:196664434-196664457:-_7-2	6.575140e-01	4.414953e-01
NCBP2_CCDS3323.1_ex1_3:196664471-196664494:-_7-3	1.192378e+00	1.435133e+00
NOP56_CCDS13030.1_ex5_20:2635979-2636002:+_5-5	1.548391e+00	2.406696e+00
WBSCR22_CCDS5557.1_ex2_7:73100970-73100993:+_5-1	8.013339e-01	6.527344e-01
WBSCR22_CCDS5557.1_ex3_7:73101186-73101209:+_5-3	-1.008265e-01	1.390622e-02
PPP2CA_CCDS4173.1_ex2_5:133536119-133536142:-_5-1	1.108016e+00	1.235824e+00
HAUS1_CCDS11928.1_ex2_18:43698269-43698292:-_5-5	8.820910e-01	7.871712e-01
SAE1_CCDS12696.1_ex1_19:47646766-47646789:+_6-3	1.206989e+00	1.460830e+00
SAE1_CCDS12696.1_ex1_19:47646840-47646863:+_6-4	6.189100e-01	3.889464e-01
NSA2_CCDS4025.1_ex3_5:74066566-74066589:+_5-5	6.948011e-01	4.910629e-01
RRM2_CCDS1669.1_ex1_2:10263116-10263139:-_5-1	6.786183e-01	4.674386e-01
RRM2_CCDS1669.1_ex2_2:10263587-10263610:-_5-2	1.721408e+00	2.976534e+00
RRM2_CCDS1669.1_ex2_2:10263632-10263655:+_5-3	-1.033056e-01	1.326977e-02
RRM2_CCDS1669.1_ex5_2:10267090-10267113:-_5-4	1.697975e+00	2.896679e+00
RRM2_CCDS1669.1_ex6_2:10267258-10267281:-_5-5	9.071775e-01	8.357432e-01
CDC73_CCDS1382.1_ex1_1:193094259-193094282:+_5-1	1.634428e+00	2.686186e+00
NOP16_CCDS43403.1_ex3_5:175815301-175815324:-_5-4	1.173970e+00	1.389301e+00
RBBP4_CCDS366.1_ex5_1:33134586-33134609:+_5-5	1.319096e+00	1.750248e+00
URI1_CCDS12420.1_ex2_19:30476156-30476179:-_5-1	1.049385e+00	1.112043e+00
MAK16_CCDS6089.1_ex2_8:33346104-33346127:-_5-1	1.127747e+00	1.283194e+00
DDX18_CCDS2120.1_ex3_2:118578846-118578869:+_5-3	1.789359e+00	3.216042e+00
GPN1_CCDS1760.2_ex6_2:27858063-27858086:-_5-1	1.740893e+00	3.045703e+00
PSMA4_CCDS10303.1_ex5_15:78838080-78838103:-_5-5	9.984838e-02	2.098246e-02
PSMB5_CCDS45083.1_ex0_14:23495558-23495581:-_10-3	1.017013e+00	1.043245e+00
RBM39_CCDS13265.1_ex6_20:34302283-34302306:-_5-1	1.530450e+00	2.355165e+00
EXOSC4_CCDS6414.1_ex0_8:145133780-145133803:+_5-2	7.387410e-01	5.507121e-01
LCE2C_CCDS1019.1_ex0_1:152648626-152648649:+_2-2	1.703638e+00	2.915381e+00
POLA2_CCDS8098.1_ex7_11:65048554-65048577:+_5-5	1.288400e+00	1.674159e+00
TUBG1_CCDS11433.1_ex3_17:40764139-40764162:+_5-2	1.017837e+00	1.047215e+00
UFD1L_CCDS13761.1_ex8_22:19459288-19459311:+_5-3	1.025662e+00	1.062501e+00
UFD1L_CCDS13761.1_ex9_22:19462581-19462604:+_5-4	9.990227e-01	1.009337e+00
DKC1_CCDS14761.1_ex4_X:153994586-153994609:+_5-4	1.111713e+00	1.246106e+00
RRP9_CCDS2837.1_ex8_3:51970440-51970463:+_5-1	1.227396e+00	1.516255e+00
RRP9_CCDS2837.1_ex9_3:51971292-51971315:-_5-4	1.353564e+00	1.843172e+00
EIF2S2_CCDS13231.1_ex3_20:32684507-32684530:-_5-1	2.021437e+00	4.099267e+00
MCM3_CCDS4940.2_ex14_6:52147539-52147562:-_5-2	1.982973e+00	3.945961e+00
EIF2B5_CCDS3252.1_ex6_3:183858291-183858314:+_5-4	3.783340e-01	1.505710e-01
PSMG4_CCDS47360.1_ex0_6:3259357-3259380:+_6-2	8.398963e-01	7.108836e-01
HEATR1_CCDS31066.1_ex39_1:236760189-236760212:+_5-4	1.134205e+00	1.293417e+00
TUBGCP4_CCDS42030.1_ex2_15:43668731-43668754:+_5-2	1.144723e+00	1.323037e+00
NUP133_CCDS1579.1_ex21_1:229635464-229635487:-_5-2	7.692115e-01	6.002439e-01
DNAJC9_CCDS7322.1_ex3_10:75006444-75006467:-_5-3	4.777205e-01	2.400717e-01
SDAD1_CCDS3573.2_ex11_4:76890448-76890471:+_5-1	1.380093e+00	1.919554e+00
HIST1H2BL_CCDS4625.1_ex0_6:27775486-27775509:+_4-2	1.410691e+00	2.008698e+00
GAPDH_CCDS58201.1_ex2_12:6646098-6646121:+_5-1	7.562939e-01	5.782144e-01
GAPDH_CCDS58201.1_ex3_12:6646260-6646283:+_5-3	9.561169e-01	9.192573e-01
DHX9_CCDS41444.1_ex4_1:182823291-182823314:+_5-2	1.174501e+00	1.391374e+00
KRTAP9-4_CCDS11386.1_ex0_17:39406115-39406138:-_2-2	5.873468e-01	3.530065e-01
ALYREF_CCDS32768.2_ex5_17:79849253-79849276:+_5-4	7.558211e-01	5.767148e-01
BRF1_CCDS10001.1_ex13_14:105718849-105718872:-_13-7	1.385512e+00	1.927508e+00
BRF1_CCDS10001.1_ex17_14:105766779-105766802:+_13-12	2.414984e-01	6.577845e-02
BRF1_CCDS10001.1_ex17_14:105766880-105766903:-_13-13	1.404506e+00	1.980810e+00
U2AF1_CCDS13694.1_ex1_21:44514655-44514678:-_5-1	1.597976e+00	2.566100e+00
RBM17_CCDS7077.1_ex1_10:6143266-6143289:+_5-1	1.065459e+00	1.145299e+00
RPL36A_CCDS14483.2_ex1_X:100646529-100646552:+_5-4	8.990282e-01	8.192504e-01
KARS_CCDS10923.1_ex8_16:75669587-75669610:-_5-1	6.869325e-01	4.862169e-01
PRMT1_CCDS42592.1_ex2_19:50185209-50185232:-_5-2	1.036265e+00	1.081093e+00
ATP6V1E1_CCDS13745.1_ex5_22:18095613-18095636:+_5-5	-6.149323e-02	1.478497e-02
MCM4_CCDS6143.1_ex4_8:48875397-48875420:+_5-4	1.603936e+00	2.587711e+00
EXOSC2_CCDS65160.1_ex0_9:133569268-133569291:+_5-2	5.291561e-01	2.917117e-01
RABGGTB_CCDS669.1_ex2_1:76254957-76254980:+_5-2	1.265721e+00	1.615692e+00
RABGGTB_CCDS669.1_ex6_1:76257943-76257966:+_5-5	1.332057e+00	1.790100e+00
DHX8_CCDS11464.1_ex5_17:41570161-41570184:+_5-3	7.699184e-01	6.010737e-01
SNRNP70_CCDS12756.1_ex5_19:49604652-49604675:+_5-3	1.172042e+00	1.383198e+00
RBX1_CCDS14009.1_ex1_22:41349580-41349603:-_5-2	1.104429e+00	1.234391e+00
PCBP1_CCDS1898.1_ex0_2:70315235-70315258:+_5-3	1.193447e+00	1.439356e+00
RRN3_CCDS10559.1_ex7_16:15168633-15168656:-_5-4	1.315435e+00	1.741292e+00
RRN3_CCDS10559.1_ex7_16:15168657-15168680:-_5-5	1.064399e+00	1.145575e+00
INCENP_CCDS31582.1_ex2_11:61897760-61897783:+_5-2	1.086176e+00	1.187669e+00
INCENP_CCDS31582.1_ex2_11:61897875-61897898:-_5-4	8.251257e-01	6.878777e-01
PSMA5_CCDS55619.1_ex4_1:109954725-109954748:+_5-3	9.710945e-01	9.550648e-01
MED28_CCDS33963.1_ex3_4:17625218-17625241:+_5-4	8.957683e-01	8.163179e-01
POLD3_CCDS8233.1_ex4_11:74323976-74323999:+_5-3	1.305663e+00	1.718374e+00
CNOT3_CCDS12880.1_ex2_19:54647212-54647235:+_5-1	6.804326e-01	4.772563e-01
HCFC1_CCDS44020.1_ex16_X:153224010-153224033:+_5-1	4.806063e-01	2.353088e-01
POLR1B_CCDS2097.1_ex5_2:113309464-113309487:+_5-1	2.691692e-01	8.534181e-02
POLR2H_CCDS3264.1_ex3_3:184084511-184084534:+_9-6	1.816048e-01	4.684377e-02
PDPK1_CCDS10472.1_ex7_16:2631301-2631324:-_5-2	1.227088e+00	1.517074e+00
ZNF131_CCDS43313.1_ex4_5:43161865-43161888:+_5-5	7.602392e-01	5.865379e-01
CCT5_CCDS3877.1_ex4_5:10258225-10258248:+_5-5	1.299654e+00	1.701790e+00
GTF2A2_CCDS10173.1_ex2_15:59942899-59942922:-_5-3	8.962689e-01	8.159680e-01
SKIV2L2_CCDS3967.1_ex13_5:54649063-54649086:+_5-5	-1.990586e-02	6.396090e-03
PRPF4_CCDS59142.1_ex2_9:116041356-116041379:-_5-1	1.147649e+00	1.326548e+00
PRPF4_CCDS59142.1_ex6_9:116046656-116046679:-_5-5	9.663306e-01	9.436860e-01
ARMC7_CCDS11714.1_ex2_17:73124778-73124801:+_5-3	1.105874e+00	1.232199e+00
RFC4_CCDS3283.1_ex4_3:186510364-186510387:+_5-1	1.106473e+00	1.240650e+00
FARSB_CCDS2454.1_ex14_2:223507615-223507638:+_5-5	1.331072e+00	1.786192e+00
PRMT5_CCDS41922.1_ex7_14:23393706-23393729:-_5-1	8.103392e-01	6.688481e-01
PRMT5_CCDS41922.1_ex9_14:23394194-23394217:+_5-2	8.867383e-01	7.924214e-01
POLD2_CCDS5477.1_ex6_7:44156805-44156828:-_5-2	9.658377e-01	9.466399e-01
POLD2_CCDS5477.1_ex7_7:44157246-44157269:-_5-4	9.299058e-01	8.788215e-01
PSMD14_CCDS46437.1_ex4_2:162227806-162227829:+_5-3	8.274670e-01	7.016590e-01
MED22_CCDS6963.1_ex1_9:136211095-136211118:+_5-1	7.459464e-01	5.615226e-01
SCAP_CCDS2755.2_ex12_3:47462419-47462442:-_5-2	1.100343e+00	1.218218e+00
SPDL1_CCDS4370.1_ex3_5:169021207-169021230:+_5-2	1.328654e+00	1.780092e+00
SPDL1_CCDS4370.1_ex4_5:169021420-169021443:+_5-4	7.239697e-01	5.337103e-01
RPF2_CCDS5088.1_ex5_6:111320909-111320932:-_5-3	1.540978e+00	2.394115e+00
RPLP2_CCDS7717.1_ex0_11:810341-810364:+_5-3	1.271062e+00	1.630578e+00
ABCF1_CCDS34380.1_ex13_6:30552235-30552258:+_5-5	1.644927e+00	2.720877e+00
SEH1L_CCDS32791.1_ex3_18:12963243-12963266:-_5-3	8.723714e-01	7.728965e-01
DMAP1_CCDS509.1_ex4_1:44684352-44684375:-_5-5	7.411522e-01	5.622594e-01
INTS4_CCDS31644.1_ex20_11:77692557-77692580:-_5-3	-1.915829e-01	4.771053e-02
TRAPPC1_CCDS11125.1_ex2_17:7834836-7834859:+_5-5	9.401463e-01	8.979459e-01
